dataset,metric,spearman_with_ari,n_algorithms
sipu/s4,WCNN Index,0.03333333333333333,9
sipu/spiral,CH Index,-0.9899328859060404,17
sipu/spiral,Dunnowa Index,0.9899328859060404,17
sipu/spiral,Generalised Dunn Index,0.9899328859060404,17
sipu/spiral,Negated Ball Hall Index,-1.0,17
sipu/spiral,Negated DB Index,-0.9798657718120807,17
sipu/spiral,Negated WCSS Index,-0.9899328859060404,17
sipu/spiral,Silhouette,-0.9865771812080538,17
sipu/spiral,Silhouette W,-0.9697986577181209,17
sipu/spiral,WCNN Index,-0.946308724832215,17
sipu/unbalance,CH Index,0.2738611131741627,30
sipu/unbalance,Dunnowa Index,0.460431654676259,12
sipu/unbalance,Generalised Dunn Index,-0.7455635437123265,30
sipu/unbalance,Negated Ball Hall Index,0.9312277126846664,30
sipu/unbalance,Negated DB Index,-0.7676450242728492,29
sipu/unbalance,Negated WCSS Index,0.9281711665817627,30
sipu/unbalance,Silhouette,-0.7315333672949567,30
sipu/unbalance,Silhouette W,-0.7417218543046358,30
sipu/unbalance,WCNN Index,-0.783676077597258,29
uci/ecoli,CH Index,0.3216783216783217,12
uci/ecoli,Generalised Dunn Index,-0.16083916083916086,12
uci/ecoli,Negated Ball Hall Index,-0.34965034965034975,12
uci/ecoli,Negated DB Index,-0.016666666666666666,9
uci/ecoli,Negated WCSS Index,0.3216783216783217,12
uci/ecoli,Silhouette,0.6153846153846154,12
uci/ecoli,Silhouette W,-0.2377622377622378,12
uci/glass,CH Index,0.9230769230769231,12
uci/glass,Generalised Dunn Index,-0.6153846153846154,12
uci/glass,Negated Ball Hall Index,-0.9230769230769231,12
uci/glass,Negated DB Index,0.6333333333333333,9
uci/glass,Negated WCSS Index,0.9230769230769231,12
uci/glass,Silhouette,0.23076923076923078,12
uci/glass,Silhouette W,-0.43356643356643365,12
uci/ionosphere,CH Index,0.594306049822064,12
uci/ionosphere,Dunnowa Index,-0.06024096385542168,8
uci/ionosphere,Generalised Dunn Index,-0.5871886120996441,12
uci/ionosphere,Negated Ball Hall Index,-0.7224199288256229,12
uci/ionosphere,Negated DB Index,-0.596638655462185,9
uci/ionosphere,Negated WCSS Index,0.594306049822064,12
uci/ionosphere,Silhouette,-0.4448398576512455,12
uci/ionosphere,Silhouette W,-0.7224199288256229,12
uci/ionosphere,WCNN Index,-0.542168674698795,8
uci/sonar,CH Index,-0.3498233215547703,12
uci/sonar,Dunnowa Index,-0.7698003589195012,7
uci/sonar,Generalised Dunn Index,0.2508833922261484,12
uci/sonar,Negated Ball Hall Index,-0.10247349823321554,12
uci/sonar,Negated DB Index,-0.06912442396313363,11
uci/sonar,Negated WCSS Index,-0.3498233215547703,12
uci/sonar,Silhouette,-0.10954063604240284,12
uci/sonar,Silhouette W,-0.16607773851590105,12
uci/sonar,WCNN Index,-0.11111111111111113,7
uci/statlog,CH Index,0.44055944055944063,12
uci/statlog,Dunnowa Index,-0.39999999999999997,5
uci/statlog,Generalised Dunn Index,-0.4055944055944056,12
uci/statlog,Negated Ball Hall Index,0.09090909090909093,12
uci/statlog,Negated DB Index,-0.5,9
uci/statlog,Negated WCSS Index,0.44055944055944063,12
uci/statlog,Silhouette,-0.49650349650349657,12
uci/statlog,Silhouette W,-0.7972027972027973,12
uci/statlog,WCNN Index,-0.19999999999999998,5
uci/wdbc,CH Index,0.7366548042704627,12
uci/wdbc,Dunnowa Index,-0.39655172413793105,9
uci/wdbc,Generalised Dunn Index,-0.7793594306049823,12
uci/wdbc,Negated Ball Hall Index,0.10320284697508897,12
uci/wdbc,Negated DB Index,-0.4883720930232559,11
uci/wdbc,Negated WCSS Index,0.7366548042704627,12
uci/wdbc,Silhouette,-0.34519572953736655,12
uci/wdbc,Silhouette W,-0.608540925266904,12
uci/wdbc,WCNN Index,0.017241379310344827,9
uci/wine,CH Index,0.6465455911329282,12
uci/wine,Dunnowa Index,0.03225806451612903,6
uci/wine,Generalised Dunn Index,-0.7642857142857142,12
uci/wine,Negated Ball Hall Index,0.007142857142857143,12
uci/wine,Negated DB Index,-0.8374999999999999,10
uci/wine,Negated WCSS Index,0.65,12
uci/wine,Silhouette,-0.19999999999999998,12
uci/wine,Silhouette W,-0.8571428571428572,12
uci/wine,WCNN Index,0.3548387096774194,6
uci/yeast,CH Index,0.8461538461538463,12
uci/yeast,Generalised Dunn Index,-0.6083916083916086,12
uci/yeast,Negated Ball Hall Index,-0.4125874125874127,12
uci/yeast,Negated DB Index,-0.48181818181818187,11
uci/yeast,Negated WCSS Index,0.8461538461538463,12
uci/yeast,Silhouette,-0.027972027972027972,12
uci/yeast,Silhouette W,-0.5524475524475525,12
